-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1_swiglu         0.00%       0.000us         0.00%       0.000us       0.000us      59.048ms         4.82%      59.048ms      39.053us          1512  
                                    Command Buffer Full         0.29%      16.847ms         0.29%      16.847ms     802.223us      42.683ms         3.48%      42.683ms       2.033ms            21  
           _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us      36.110ms         2.94%      36.110ms      23.883us          1512  
                                 _C::fused_add_rms_norm         0.29%      16.749ms         0.77%      45.495ms      13.938us      32.980ms         2.69%      33.227ms      10.180us          3264  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      32.980ms         2.69%      32.980ms      10.104us          3264  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      30.901ms         2.52%      30.901ms      40.874us           756  
                                               aten::mm         0.09%       5.051ms         0.12%       6.904ms     101.530us      26.528ms         2.16%      26.528ms     390.118us            68  
                      nvjet_tst_512x8_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      26.473ms         2.16%      26.473ms     389.303us            68  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      24.497ms         2.00%      24.497ms      30.020us           816  
                                  Lazy Function Loading         1.44%      84.822ms         1.44%      84.822ms       4.241ms      23.479ms         1.91%      23.479ms       1.174ms            20  
                  _C_cache_ops::reshape_and_cache_flash         0.15%       8.643ms         0.36%      21.450ms      13.143us      21.238ms         1.73%      21.238ms      13.014us          1632  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      21.238ms         1.73%      21.238ms      13.014us          1632  
                                   _C::rotary_embedding         0.15%       8.969ms         0.36%      21.367ms      13.093us      20.930ms         1.71%      20.930ms      12.825us          1632  
void vllm::rotary_embedding_kernel<c10::BFloat16, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      20.930ms         1.71%      20.930ms      12.825us          1632  
                 nvjet_tst_64x8_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      20.415ms         1.66%      20.415ms      13.502us          1512  
          nvjet_tst_64x8_64x16_4x1_v_bz_splitK_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      17.547ms         1.43%      17.547ms      11.605us          1512  
                            _C::static_scaled_fp8_quant         0.11%       6.417ms         0.29%      17.068ms      10.458us      10.346ms         0.84%      10.346ms       6.340us          1632  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us      10.346ms         0.84%      10.346ms       6.340us          1632  
                                            aten::copy_         0.42%      24.633ms         0.90%      53.122ms      19.006us       5.564ms         0.45%       5.566ms       1.991us          2795  
                            _moe_C::gpt_oss_router_gemm         0.11%       6.331ms         0.33%      19.196ms      12.696us       5.288ms         0.43%       5.288ms       3.497us          1512  
void gpt_oss_router_gemm_kernel<16, 16, 8, 64, 16, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       5.288ms         0.43%       5.288ms       3.497us          1512  
                                            aten::index         0.55%      32.106ms         1.69%      99.375ms      56.112us       5.053ms         0.41%       8.181ms       4.620us          1771  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.712ms         0.38%       4.712ms       2.885us          1633  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us       4.588ms         0.37%       4.588ms       2.811us          1632  
                     _bitmatrix_metadata_compute_stage2         0.00%       0.000us         0.00%       0.000us       0.000us       4.016ms         0.33%       4.016ms       2.461us          1632  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.762ms         0.31%       3.762ms       2.488us          1512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.361ms         0.27%       3.361ms       1.830us          1836  
                                                   TopK         3.81%     223.669ms         4.57%     268.317ms     164.410us       3.187ms         0.26%       3.193ms       1.957us          1632  
                                          _topk_forward         0.00%       0.000us         0.00%       0.000us       0.000us       3.187ms         0.26%       3.187ms       1.953us          1632  
                                               aten::ne         0.56%      33.092ms         0.80%      46.847ms      28.705us       3.131ms         0.26%       3.131ms       1.918us          1632  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.131ms         0.26%       3.131ms       1.918us          1632  
                     _bitmatrix_metadata_compute_stage1         0.00%       0.000us         0.00%       0.000us       0.000us       2.995ms         0.24%       2.995ms       1.835us          1632  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us       2.961ms         0.24%       2.961ms       3.916us           756  
               nvjet_tst_32x128_64x10_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       2.941ms         0.24%       2.941ms      40.849us            72  
                                              aten::div         0.43%      25.204ms         0.84%      49.124ms      30.100us       2.906ms         0.24%       2.906ms       1.780us          1632  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.906ms         0.24%       2.906ms       1.780us          1632  
                                    _sum_bitmatrix_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.806ms         0.23%       2.806ms       1.719us          1632  
                        _ragged_tensor_metadata_compute         0.00%       0.000us         0.00%       0.000us       0.000us       2.798ms         0.23%       2.798ms       1.714us          1632  
                         _ragged_tensor_metadata_memset         0.00%       0.000us         0.00%       0.000us       0.000us       2.691ms         0.22%       2.691ms       1.649us          1632  
                                            aten::fill_         0.27%      15.752ms         0.54%      31.671ms      15.024us       2.448ms         0.20%       2.452ms       1.163us          2108  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.439ms         0.20%       2.439ms       1.385us          1761  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.179ms         0.10%       1.179ms       2.124us           555  
                nvjet_tst_32x64_64x16_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     971.845us         0.08%     971.845us      20.247us            48  
                                           aten::argmax         0.03%       1.906ms         0.08%       4.797ms      70.545us     754.807us         0.06%     766.263us      11.269us            68  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     704.188us         0.06%     704.188us      10.356us            68  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     579.389us         0.05%     579.389us       4.260us           136  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     463.486us         0.04%     463.486us       6.816us            68  
                                           _C::rms_norm         0.01%     470.019us         0.02%       1.073ms      15.781us     442.942us         0.04%     442.942us       6.514us            68  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     442.942us         0.04%     442.942us       6.514us            68  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     346.239us         0.03%     346.239us       0.921us           376  
                                           Buffer Flush         0.02%     977.816us         0.02%       1.008ms     168.082us     337.345us         0.03%     337.345us      56.224us             6  
                                Activity Buffer Request         0.27%      15.581ms         0.27%      15.581ms       2.597ms     337.313us         0.03%     337.313us      56.219us             6  
                                     aten::index_select         0.04%       2.134ms         0.06%       3.702ms      27.220us     290.400us         0.02%     436.224us       3.208us           136  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     290.400us         0.02%     290.400us       4.610us            63  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     277.027us         0.02%     277.027us       3.848us            72  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     273.655us         0.02%     273.655us       1.368us           200  
                                              aten::add         0.04%       2.314ms         0.06%       3.287ms      16.113us     235.713us         0.02%     235.713us       1.155us           204  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     210.372us         0.02%     210.372us       2.963us            71  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     170.047us         0.01%     170.047us       2.501us            68  
                                           aten::gather         0.00%     114.590us         0.00%     167.199us      33.440us     145.824us         0.01%     145.824us      29.165us             5  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     120.066us         0.01%     120.066us       1.766us            68  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     117.284us         0.01%     117.284us       1.725us            68  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     115.647us         0.01%     115.647us       1.701us            68  
                                   cudaEventSynchronize         9.51%     559.006ms        12.49%     734.158ms       5.320ms      97.568us         0.01%     607.462ms       4.402ms           138  
                                              aten::sub         0.02%       1.137ms         0.03%       1.737ms      25.542us      91.484us         0.01%      91.484us       1.345us            68  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      91.484us         0.01%      91.484us       1.345us            68  
                                  cudaStreamIsCapturing         0.01%     423.322us         0.01%     428.941us       2.043us      56.000us         0.00%      56.000us       0.267us           210  
                                       cuLaunchKernelEx         3.39%     199.113ms         3.52%     206.993ms      11.326us      42.880us         0.00%      39.185ms       2.144us         18276  
                                        cudaEventRecord         0.01%     344.766us         0.01%     344.766us       2.498us      39.200us         0.00%      39.200us       0.284us           138  
                               cudaEventRecordWithFlags         0.02%       1.002ms         0.02%       1.066ms       7.507us      14.528us         0.00%      14.528us       0.102us           142  
                                         aten::scatter_         0.00%     162.191us         1.71%     100.605ms      33.535ms       7.840us         0.00%      15.712us       5.237us             3  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       7.840us         0.00%       7.840us       2.613us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240us         0.00%       6.240us       1.248us             5  
                       Runtime Triggered Module Loading         0.28%      16.254ms         0.28%      16.254ms       8.127ms       5.248us         0.00%       5.248us       2.624us             2  
                                    cudaStreamWaitEvent         0.01%     302.699us         0.01%     302.699us       4.451us       3.360us         0.00%       3.360us       0.049us            68  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.688us         0.00%       2.688us       1.344us             2  
                execute_context_1(8192)_generation_0(0)         0.19%      10.885ms         1.56%      91.431ms      91.431ms       0.000us         0.00%     119.055ms     119.055ms             1  
                                            aten::slice         0.49%      28.975ms         0.67%      39.157ms       1.718us       0.000us         0.00%       0.000us       0.000us         22789  
                                       aten::as_strided         0.86%      50.553ms         0.86%      50.553ms       0.628us       0.000us         0.00%       0.000us       0.000us         80460  
                                        cudaMemcpyAsync         0.15%       8.866ms         0.15%       8.917ms      10.834us       0.000us         0.00%       0.000us       0.000us           823  
                                       aten::lift_fresh         0.00%      59.467us         0.00%      59.467us       0.419us       0.000us         0.00%       0.000us       0.000us           142  
                                          aten::flatten         0.11%       6.240ms         0.17%      10.145ms       2.044us       0.000us         0.00%       0.000us       0.000us          4964  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.877s
Self CUDA time total: 1.226s

