-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1_swiglu         0.00%       0.000us         0.00%       0.000us       0.000us      59.309ms         4.52%      59.309ms      38.612us          1536  
           _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us      36.461ms         2.78%      36.461ms      23.738us          1536  
                                 _C::fused_add_rms_norm         0.29%      16.694ms         0.80%      46.318ms      14.191us      33.243ms         2.53%      33.986ms      10.412us          3264  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      33.243ms         2.53%      33.243ms      10.185us          3264  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      30.218ms         2.30%      30.218ms      39.971us           756  
                                               aten::mm         0.09%       4.977ms         0.11%       6.665ms      98.009us      26.397ms         2.01%      26.397ms     388.185us            68  
                      nvjet_tst_512x8_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      26.342ms         2.01%      26.342ms     387.389us            68  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      24.314ms         1.85%      24.314ms      29.797us           816  
                  _C_cache_ops::reshape_and_cache_flash         0.15%       8.754ms         0.36%      20.637ms      12.645us      21.148ms         1.61%      21.148ms      12.958us          1632  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      21.148ms         1.61%      21.148ms      12.958us          1632  
                                   _C::rotary_embedding         0.16%       9.073ms         0.37%      21.193ms      12.986us      20.949ms         1.60%      20.949ms      12.836us          1632  
void vllm::rotary_embedding_kernel<c10::BFloat16, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      20.949ms         1.60%      20.949ms      12.836us          1632  
                 nvjet_tst_64x8_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      20.200ms         1.54%      20.200ms      13.360us          1512  
          nvjet_tst_64x8_64x16_4x1_v_bz_splitK_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      17.438ms         1.33%      17.438ms      11.533us          1512  
                            _C::static_scaled_fp8_quant         0.12%       6.961ms         0.29%      17.094ms      10.474us      10.250ms         0.78%      10.250ms       6.281us          1632  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us      10.250ms         0.78%      10.250ms       6.281us          1632  
                            _moe_C::gpt_oss_router_gemm         0.12%       6.890ms         0.33%      19.196ms      12.497us       5.422ms         0.41%       5.422ms       3.530us          1536  
void gpt_oss_router_gemm_kernel<16, 16, 8, 64, 16, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       5.422ms         0.41%       5.422ms       3.530us          1536  
                                            aten::copy_         0.43%      24.734ms         0.96%      55.468ms      19.853us       5.082ms         0.39%       5.089ms       1.822us          2794  
                                            aten::index         0.56%      32.527ms         1.76%     102.314ms      57.805us       5.018ms         0.38%       8.156ms       4.608us          1770  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.672ms         0.36%       4.672ms       2.859us          1634  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us       4.581ms         0.35%       4.581ms       2.807us          1632  
                     _bitmatrix_metadata_compute_stage2         0.00%       0.000us         0.00%       0.000us       0.000us       4.018ms         0.31%       4.018ms       2.462us          1632  
               nvjet_tst_32x128_64x10_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       3.909ms         0.30%       3.909ms      40.716us            96  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.745ms         0.29%       3.745ms       2.477us          1512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.369ms         0.26%       3.369ms       1.835us          1836  
                                                   TopK         3.79%     219.604ms         4.57%     264.934ms     162.337us       3.197ms         0.24%       3.201ms       1.961us          1632  
                                          _topk_forward         0.00%       0.000us         0.00%       0.000us       0.000us       3.197ms         0.24%       3.197ms       1.959us          1632  
                                               aten::ne         0.57%      33.189ms         0.79%      45.617ms      27.952us       3.112ms         0.24%       3.112ms       1.907us          1632  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.112ms         0.24%       3.112ms       1.907us          1632  
                     _bitmatrix_metadata_compute_stage1         0.00%       0.000us         0.00%       0.000us       0.000us       2.990ms         0.23%       2.990ms       1.832us          1632  
                                              aten::div         0.44%      25.656ms         0.83%      47.851ms      29.320us       2.917ms         0.22%       2.917ms       1.787us          1632  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.917ms         0.22%       2.917ms       1.787us          1632  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us       2.914ms         0.22%       2.914ms       3.794us           768  
                                    _sum_bitmatrix_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.811ms         0.21%       2.811ms       1.722us          1632  
                        _ragged_tensor_metadata_compute         0.00%       0.000us         0.00%       0.000us       0.000us       2.771ms         0.21%       2.771ms       1.698us          1632  
                         _ragged_tensor_metadata_memset         0.00%       0.000us         0.00%       0.000us       0.000us       2.688ms         0.20%       2.688ms       1.647us          1632  
                                            aten::fill_         0.27%      15.660ms         0.59%      33.997ms      16.127us       2.452ms         0.19%       2.464ms       1.169us          2108  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.443ms         0.19%       2.443ms       1.387us          1761  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     848.063us         0.06%     848.063us       1.534us           553  
                                           aten::argmax         0.04%       2.119ms         0.11%       6.438ms      94.672us     729.082us         0.06%     750.521us      11.037us            68  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     678.335us         0.05%     678.335us       9.976us            68  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     663.904us         0.05%     663.904us       4.882us           136  
                                  Lazy Function Loading         0.02%       1.114ms         0.02%       1.114ms      85.728us     638.711us         0.05%     638.711us      49.132us            13  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     522.689us         0.04%     522.689us      43.557us            12  
                                           _C::rms_norm         0.01%     611.245us         0.02%       1.178ms      17.323us     443.299us         0.03%     443.299us       6.519us            68  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     443.299us         0.03%     443.299us       6.519us            68  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     357.056us         0.03%     357.056us       1.434us           249  
                                       cuLaunchKernelEx         2.44%     141.450ms         2.77%     160.849ms       8.813us     342.656us         0.03%     117.939ms       6.462us         18252  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     310.434us         0.02%     310.434us       4.565us            68  
                    nvjet_tst_64x8_64x16_4x1_v_badd_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     305.407us         0.02%     305.407us      12.725us            24  
               nvjet_tst_64x8_64x16_4x1_v_bx_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     278.912us         0.02%     278.912us      11.621us            24  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     274.456us         0.02%     274.456us       0.837us           328  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     271.777us         0.02%     271.777us       3.883us            70  
                                              aten::add         0.04%       2.557ms         0.06%       3.516ms      17.236us     235.935us         0.02%     235.935us       1.157us           204  
                                     aten::index_select         0.04%       2.229ms         0.06%       3.658ms      26.900us     233.826us         0.02%     384.354us       2.826us           136  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     233.826us         0.02%     233.826us       3.654us            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     224.289us         0.02%     224.289us       3.204us            70  
                                           Buffer Flush         0.01%     857.003us         0.02%     895.129us     149.188us     186.274us         0.01%     186.274us      31.046us             6  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     161.726us         0.01%     161.726us       2.378us            68  
                                           aten::gather         0.00%      87.050us         0.00%     131.405us      32.851us     150.528us         0.01%     150.528us      37.632us             4  
                                        cudaEventRecord         0.01%     334.011us         0.01%     334.011us       2.420us     124.448us         0.01%     124.448us       0.902us           138  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     121.023us         0.01%     121.023us       1.780us            68  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     118.270us         0.01%     118.270us       1.739us            68  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.912us         0.01%     114.912us       1.690us            68  
                                              aten::sub         0.02%       1.226ms         0.03%       1.841ms      27.074us      91.649us         0.01%      91.649us       1.348us            68  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      91.649us         0.01%      91.649us       1.348us            68  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      52.384us         0.00%      52.384us       2.183us            24  
                                   cudaEventSynchronize        11.70%     678.568ms        15.89%     921.770ms       6.679ms      25.472us         0.00%     894.507ms       6.482ms           138  
                                Activity Buffer Request         0.27%      15.824ms         0.27%      15.824ms       2.637ms      21.599us         0.00%      21.599us       3.600us             6  
                                  cudaStreamIsCapturing         0.01%     404.478us         0.01%     407.472us       1.959us      15.296us         0.00%      15.296us       0.074us           208  
                                    cudaStreamWaitEvent         0.00%     213.608us         0.00%     213.608us       3.141us      13.888us         0.00%      13.888us       0.204us            68  
                               cudaEventRecordWithFlags         0.01%     727.016us         0.01%     729.029us       5.207us       8.448us         0.00%       8.448us       0.060us           140  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240us         0.00%       6.240us       1.248us             5  
                       Runtime Triggered Module Loading         0.29%      16.849ms         0.29%      16.849ms       8.425ms       5.440us         0.00%       5.440us       2.720us             2  
                                         aten::scatter_         0.00%      94.119us         0.30%      17.549ms       8.774ms       5.120us         0.00%      13.280us       6.640us             2  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.00%       5.120us       2.560us             2  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.880us         0.00%       2.880us       1.440us             2  
               execute_context_1(16384)_generation_0(0)         0.24%      14.118ms         1.51%      87.518ms      87.518ms       0.000us         0.00%     248.954ms     248.954ms             1  
                                            aten::slice         0.50%      28.744ms         0.67%      38.697ms       1.699us       0.000us         0.00%       0.000us       0.000us         22783  
                                       aten::as_strided         0.87%      50.430ms         0.87%      50.430ms       0.627us       0.000us         0.00%       0.000us       0.000us         80472  
                                        cudaMemcpyAsync         0.14%       8.386ms         0.19%      11.041ms      12.691us       0.000us         0.00%       3.520us       0.004us           870  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.800s
Self CUDA time total: 1.313s

