-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     167.862ms         4.62%     167.862ms      83.931ms             2  
                              _turboquant_unpack_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     167.323ms         4.60%     167.323ms     387.322us           432  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     164.954ms         4.54%     164.954ms      82.477ms             2  
                  execute_context_1(10)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     149.368ms         4.11%     149.368ms     149.368ms             1  
                          vllm::unified_kv_cache_update         2.90%     247.374ms         3.56%     304.049ms     175.954us     137.323ms         3.78%     137.329ms      79.473us          1728  
                                _turboquant_pack_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     137.323ms         3.78%     137.323ms      39.735us          3456  
    _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1_swiglu         0.00%       0.000us         0.00%       0.000us       0.000us      58.465ms         1.61%      58.465ms      38.063us          1536  
                                 _C::fused_add_rms_norm         0.25%      21.490ms         0.65%      55.564ms      16.078us      57.182ms         1.57%      57.185ms      16.547us          3456  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      57.182ms         1.57%      57.182ms      16.546us          3456  
                                            aten::copy_         0.84%      71.833ms         1.85%     157.586ms      19.462us      50.918ms         1.40%      50.918ms       6.289us          8097  
                                               aten::mm         0.32%      27.586ms         0.41%      35.250ms     122.394us      46.027ms         1.27%      46.213ms     160.462us           288  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      41.309ms         1.14%      41.309ms      12.941us          3192  
                                   _C::rotary_embedding         0.14%      12.266ms         0.32%      27.352ms      15.829us      36.155ms         0.99%      36.155ms      20.923us          1728  
void vllm::rotary_embedding_kernel<c10::BFloat16, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      36.155ms         0.99%      36.155ms      20.923us          1728  
           _matmul_ogs_NNT_bf16xbf16xmxfp4_16x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us      35.884ms         0.99%      35.884ms      23.362us          1536  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      28.835ms         0.79%      28.835ms     266.991us           108  
                      nvjet_tst_512x8_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      27.929ms         0.77%      27.929ms     387.901us            72  
                                              aten::cat         0.05%       4.164ms         0.07%       6.161ms      28.523us      24.509ms         0.67%      24.509ms     113.466us           216  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      24.509ms         0.67%      24.509ms     113.466us           216  
                 nvjet_tst_64x8_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      19.469ms         0.54%      19.469ms      13.299us          1464  
               nvjet_tst_64x512_64x2_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      17.218ms         0.47%      17.218ms      89.679us           192  
          nvjet_tst_64x8_64x16_4x1_v_bz_splitK_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      17.136ms         0.47%      17.136ms      11.705us          1464  
               nvjet_tst_32x128_64x10_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       7.823ms         0.22%       7.823ms      40.743us           192  
                                         aten::_unique2         0.13%      11.180ms         0.51%      43.379ms     200.827us       7.751ms         0.21%       8.470ms      39.215us           216  
                                            aten::index         0.59%      50.180ms        23.06%        1.967s     853.025us       7.702ms         0.21%      14.326ms       6.212us          2306  
                                            aten::fill_         0.38%      32.426ms         0.81%      68.886ms      12.589us       6.756ms         0.19%       6.757ms       1.235us          5472  
                            _moe_C::gpt_oss_router_gemm         0.11%       9.171ms         0.29%      24.766ms      16.124us       5.408ms         0.15%       5.408ms       3.521us          1536  
void gpt_oss_router_gemm_kernel<16, 16, 8, 64, 16, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       5.408ms         0.15%       5.408ms       3.521us          1536  
                                _tq_merge_splits_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.371ms         0.15%       5.371ms       3.552us          1512  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.237ms         0.14%       5.237ms       3.023us          1732  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.867ms         0.13%       4.867ms       2.049us          2376  
                     _bitmatrix_metadata_compute_stage2         0.00%       0.000us         0.00%       0.000us       0.000us       4.362ms         0.12%       4.362ms       2.524us          1728  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       4.309ms         0.12%       4.309ms       6.412us           672  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.809ms         0.10%       3.809ms       2.560us          1488  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.727ms         0.10%       3.727ms       1.232us          3024  
                                                   TopK         3.02%     257.950ms         3.63%     309.916ms     179.350us       3.578ms         0.10%       3.580ms       2.072us          1728  
                                          _topk_forward         0.00%       0.000us         0.00%       0.000us       0.000us       3.578ms         0.10%       3.578ms       2.070us          1728  
                                               aten::ne         0.46%      39.485ms         0.66%      56.243ms      32.548us       3.291ms         0.09%       3.293ms       1.906us          1728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.291ms         0.09%       3.291ms       1.905us          1728  
                     _bitmatrix_metadata_compute_stage1         0.00%       0.000us         0.00%       0.000us       0.000us       3.169ms         0.09%       3.169ms       1.834us          1728  
                                    _sum_bitmatrix_rows         0.00%       0.000us         0.00%       0.000us       0.000us       3.069ms         0.08%       3.069ms       1.776us          1728  
                                              aten::div         0.36%      30.953ms         0.68%      58.327ms      33.754us       3.037ms         0.08%       3.037ms       1.758us          1728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.037ms         0.08%       3.037ms       1.758us          1728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.012ms         0.08%       3.012ms       1.452us          2075  
                        _ragged_tensor_metadata_compute         0.00%       0.000us         0.00%       0.000us       0.000us       2.910ms         0.08%       2.910ms       1.684us          1728  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.841ms         0.08%       2.841ms       1.561us          1820  
                         _ragged_tensor_metadata_memset         0.00%       0.000us         0.00%       0.000us       0.000us       2.820ms         0.08%       2.820ms       1.632us          1728  
                                          aten::nonzero         0.15%      12.925ms        21.40%        1.825s       8.449ms       2.655ms         0.07%       2.656ms      12.298us           216  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.340ms         0.06%       2.340ms       4.625us           506  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.804ms         0.05%       1.804ms       2.505us           720  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.588ms         0.04%       1.588ms       0.919us          1728  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       1.581ms         0.04%       1.581ms     131.713us            12  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.433ms         0.04%       1.433ms       2.433us           589  
                                  Lazy Function Loading         0.01%       1.246ms         0.01%       1.246ms      59.346us       1.216ms         0.03%       1.216ms      57.890us            21  
                              aten::_local_scalar_dense         0.04%       3.809ms         1.90%     161.862ms     249.786us       1.059ms         0.03%       1.059ms       1.634us           648  
                                 aten::_index_put_impl_         0.07%       5.804ms         0.23%      19.417ms      44.947us     999.372us         0.03%       1.986ms       4.596us           432  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     999.372us         0.03%     999.372us       4.627us           216  
                                              aten::max         0.06%       4.871ms         0.10%       8.339ms      38.608us     953.764us         0.03%     953.764us       4.416us           216  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     953.764us         0.03%     953.764us       4.416us           216  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     913.866us         0.03%     913.866us       6.346us           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     845.542us         0.02%     845.542us       1.957us           432  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     826.725us         0.02%     826.725us       3.827us           216  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     798.793us         0.02%     798.793us       3.698us           216  
                                           aten::argmax         0.03%       2.385ms         0.04%       3.793ms      52.684us     772.999us         0.02%     772.999us      10.736us            72  
                                           _C::rms_norm         0.01%     654.123us         0.02%       1.382ms      19.193us     732.421us         0.02%     732.421us      10.173us            72  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     732.421us         0.02%     732.421us      10.173us            72  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     719.111us         0.02%     719.111us       9.988us            72  
                                Activity Buffer Request         0.33%      28.193ms         0.33%      28.193ms       3.133ms     718.466us         0.02%     718.466us      79.830us             9  
                                           Buffer Flush         0.03%       2.150ms         0.03%       2.219ms     246.573us     715.781us         0.02%     715.781us      79.531us             9  
                      nvjet_tst_64x8_64x16_1x4_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     676.102us         0.02%     676.102us       3.130us           216  
                    nvjet_tst_64x8_64x16_4x1_v_badd_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     608.292us         0.02%     608.292us      12.673us            48  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     599.755us         0.02%     599.755us       2.777us           216  
                       Runtime Triggered Module Loading         0.23%      19.509ms         0.23%      19.509ms       3.252ms     578.052us         0.02%     578.052us      96.342us             6  
               nvjet_tst_64x8_64x16_4x1_v_bx_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     575.838us         0.02%     575.838us      11.997us            48  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     542.014us         0.01%     542.014us       3.226us           168  
void at_cuda_detail::cub::DeviceRadixSortSingleTileK...         0.00%       0.000us         0.00%       0.000us       0.000us     491.139us         0.01%     491.139us      10.232us            48  
void at_cuda_detail::cub::DeviceReduceKernel<at_cuda...         0.00%       0.000us         0.00%       0.000us       0.000us     479.327us         0.01%     479.327us       2.219us           216  
                                               aten::ge         0.07%       5.588ms         0.10%       8.121ms      37.597us     446.216us         0.01%     446.216us       2.066us           216  
                                            aten::clamp         0.04%       3.399ms         0.06%       5.414ms      25.063us     439.907us         0.01%     439.907us       2.037us           216  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.907us         0.01%     439.907us       2.037us           216  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us     438.795us         0.01%     438.795us       2.031us           216  
                                  cudaStreamIsCapturing         0.01%     567.314us         0.01%     567.314us       2.579us     431.556us         0.01%     431.556us       1.962us           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.529s
Self CUDA time total: 3.634s

